,time,rent growth,Net Completions Rate,"Vacancy, Apartments, T4Q Average","Job Growth, Year-over-Year","Vacancy, Total Housing",HH Income YoY Growth Rate,,,,,
35059,3/31/2005,0.050695682,0.013203501,0.0868725,0.036414982,0.061162418,0.041750473,,,,,
35060,6/30/2005,0.061234755,0.013395915,0.08204,0.040300044,0.060729936,0.029242852,,,,,
35061,9/30/2005,0.070737991,0.010217191,0.07674,0.040461583,0.061866531,0.016069279,,,,,
35062,12/31/2005,0.066884649,0.013257108,0.0720425,0.037447789,0.053189089,0.009718689,,,,,
35063,3/31/2006,0.069904848,0.013909965,0.06716,0.03872078,0.048180215,0.018954522,,,,,
35064,6/30/2006,0.083052892,0.010038364,0.0630925,0.043545879,0.048074365,0.011582425,,,,,
35065,9/30/2006,0.093109759,0.014968771,0.0606675,0.052646357,0.038879992,0.023577537,,,,,
35066,12/31/2006,0.103709871,0.014065754,0.0588625,0.059558517,0.038964146,0.055030602,,,,,
35067,3/31/2007,0.101730429,0.016915887,0.057285,0.058539279,0.03792511,0.065542451,,,,,
35068,6/30/2007,0.087704261,0.025263061,0.056025,0.05378675,0.030484177,0.068487567,,,,,
35069,9/30/2007,0.067968897,0.02824962,0.056065,0.038676981,0.035568196,0.061493949,,,,,
35070,12/31/2007,0.055634859,0.032343191,0.056405,0.034067086,0.037426588,0.049014967,,,,,
35071,3/31/2008,0.051638945,0.035657344,0.05689,0.030129125,0.042252062,0.033692419,,,,,
35072,6/30/2008,0.035750547,0.036132244,0.058645,0.023142196,0.04880929,0.039107516,,,,,
35073,9/30/2008,0.022202633,0.03343276,0.063155,0.021571649,0.053246777,0.037693981,,,,,
35074,12/31/2008,-0.013542185,0.03249468,0.0711025,0.008362899,0.062969565,0.005125451,,,,,
35075,3/31/2009,-0.052955606,0.038281508,0.080975,-0.016333249,0.065288138,-0.04011798,,,,,
35076,6/30/2009,-0.080431054,0.038540393,0.0898025,-0.02199045,0.067517138,-0.038820735,,,,,
35077,9/30/2009,-0.10624976,0.042219875,0.09796,-0.030794369,0.067668728,-0.055752635,,,,,
35078,12/31/2009,-0.11147909,0.040619073,0.099195,-0.022870068,0.061605422,-0.038356806,,,,,
35079,3/31/2010,-0.06801937,0.030476934,0.0965475,0.004633801,0.057947289,-0.015322964,,,,,
35080,6/30/2010,-0.029484632,0.022232793,0.0901275,0.016574586,0.059222257,-0.009776107,,,,,
35081,9/30/2010,0.01589766,0.016922687,0.08351,0.021268318,0.064167316,0.002566149,,,,,
35082,12/31/2010,0.044261516,0.015341522,0.0748475,0.032150206,0.062524731,0.005431261,,,,,
35083,3/31/2011,0.065390572,0.00995561,0.0675925,0.031774504,0.062069075,0.02767524,,,,,
35084,6/30/2011,0.080277149,0.009493119,0.06175,0.031976744,0.051616145,0.015590943,,,,,
35085,9/30/2011,0.100293454,0.007932323,0.058025,0.040126984,0.038033239,0.022043157,,,,,
35086,12/31/2011,0.09258965,0.00571953,0.0548125,0.033516073,0.032116177,0.020503726,,,,,
35087,3/31/2012,0.087047662,0.009430643,0.0529325,0.03526636,0.031554467,0.044914742,,,,,
35088,6/30/2012,0.080319818,0.013425835,0.0510925,0.03882425,0.036589934,0.050793646,,,,,
35089,9/30/2012,0.079430612,0.015492601,0.0501825,0.041264803,0.039274907,0.054870555,,,,,
35090,12/31/2012,0.082221951,0.01888016,0.0493175,0.049065702,0.049707197,0.068397589,,,,,
35091,3/31/2013,0.08787774,0.016867993,0.04857,0.046539523,0.055809079,0.052153196,,,,,
35092,6/30/2013,0.080011439,0.02211217,0.0485225,0.049045037,0.056544699,0.051475047,,,,,
35093,9/30/2013,0.062964716,0.035958313,0.0487975,0.047250557,0.060389768,0.041497271,,,,,
